GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ulidj,io.azam.ulidj,ULID,7,3151,0,68,2,221,1,63,1,29
ulidj,io.azam.ulidj,ULID.LazyDefaults,0,5,0,0,0,1,0,1,0,1
ulidj,io.azam.ulidj,MonotonicULID,0,134,0,16,0,33,0,14,0,6
ulidj,io.azam.ulidj,MonotonicULID.LazyDefaults,0,5,0,0,0,1,0,1,0,1
