GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ulidj,io.azam.ulidj,ULID,0,3208,0,68,0,235,0,69,0,35
ulidj,io.azam.ulidj,ULID.LazyDefaults,0,5,0,0,0,1,0,1,0,1
ulidj,io.azam.ulidj,MonotonicULID,0,164,0,18,0,43,0,20,0,11
ulidj,io.azam.ulidj,MonotonicULID.LazyDefaults,0,11,0,0,0,2,0,1,0,1
